,City Name,Date,Long,Lat,Temp,Humid,Wind,clouds,Country
0,Albany,1614794303,-73.9662,42.6001,43.0,38,3.0,33,US
1,Carnarvon,1614794581,113.6333,-24.8667,73.4,94,2.3,40,AU
2,Omboué,1614794582,9.2618,-1.5746,81.1,86,7.85,81,GA
3,Qaanaaq,1614794582,-69.3632,77.484,2.01,87,10.29,94,GL
4,Hithadhoo,1614794491,73.0833,-0.6,82.51,70,12.26,12,MV
5,Busselton,1614794583,115.3333,-33.65,71.01,85,8.01,99,AU
6,Khatanga,1614794583,102.5,71.9667,-38.04,88,5.5,0,RU
7,Meadow Lake,1614794539,-106.5436,34.8014,54.0,20,5.73,1,US
8,Bredasdorp,1614794584,20.0403,-34.5322,71.6,73,11.5,2,ZA
9,Kapaa,1614794584,-159.319,22.0752,71.6,68,17.27,75,US
10,Yerbogachën,1614794584,108.0108,61.2767,-36.4,96,2.08,18,RU
11,Punta Arenas,1614794545,-70.9167,-53.15,60.8,41,11.5,20,CL
12,Ushuaia,1614794585,-68.3,-54.8,57.2,51,4.61,20,AR
13,Port Elizabeth,1614794585,25.5701,-33.918,69.8,88,13.8,75,ZA
14,Cape Town,1614794306,18.4232,-33.9258,73.0,68,14.97,40,ZA
15,Auki,1614794586,160.7034,-8.7676,76.14,88,3.74,100,SB
16,Adrar,1614794586,-10.0711,20.5022,81.52,14,11.5,99,MR
17,Los Rastrojos,1614794587,-69.2417,10.0259,89.44,30,5.79,2,VE
18,Debre Birhan,1614794587,39.5333,9.6833,52.45,61,5.88,5,ET
19,Lompoc,1614794517,-120.4579,34.6391,53.01,58,9.1,40,US
20,Rikitea,1614794588,-134.9692,-23.1203,78.76,75,9.37,9,PF
21,Provideniya,1614794589,-173.3,64.3833,-10.89,89,5.1,39,RU
22,Waipawa,1614794589,175.5153,-41.4122,64.4,77,14.97,48,NZ
23,Naantali,1614794590,22.0243,60.4674,37.99,70,9.22,0,FI
24,Kaeo,1614794590,173.7833,-35.1,64.99,97,1.01,84,NZ
25,Iqaluit,1614794591,-68.5145,63.7506,-13.0,64,28.77,75,CA
26,Bluff,1614794471,168.3333,-46.6,52.0,82,8.99,75,NZ
27,Jijiga,1614794591,42.8,9.35,60.78,79,11.39,0,ET
28,Puerto Madryn,1614794579,-65.0385,-42.7692,66.51,81,9.8,100,AR
29,Ketchikan,1614794592,-131.6461,55.3422,37.4,93,14.97,90,US
30,Burns Lake,1614794593,-125.7533,54.2331,32.0,69,5.75,100,CA
31,Geraldton,1614794593,114.6,-28.7667,69.8,88,5.75,6,AU
32,Clyde River,1614794593,-68.5914,70.4692,-7.6,64,16.11,1,CA
33,Severo-Kuril'sk,1614794594,156.125,50.6789,14.04,92,39.53,99,RU
34,Ancud,1614794594,-73.8203,-41.8697,73.4,53,5.75,20,CL
35,Tasiilaq,1614794595,-37.6368,65.6145,26.6,43,19.57,75,GL
36,Kahului,1614794421,-156.47,20.8947,69.01,77,8.05,40,US
37,Vasto,1614794595,14.7059,42.1243,48.0,64,1.66,0,IT
